* Pacific Surfliner
* +---------------- Station code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* LAX  *  *     1  646P  *     646P  Departed:  On time.
* FUL  *  *     1  717P  *     728P  Departed:  11 minutes late.
* ANA  *  *     1  726P  *     736P  Departed:  10 minutes late.
* SNA  *  *     1  734P  *     744P  Departed:  10 minutes late.
* IRV  *  *     1  746P  *     754P  Departed:  8 minutes late.
* SNC  *  *     1  800P  *     807P  Departed:  7 minutes late.
* OSD  *  *     1  845P  *     851P  Departed:  6 minutes late.
* SOL  *  *     1  859P  *     906P  Departed:  7 minutes late.
* OLT  *  *     1  927P  *     944P  Departed:  17 minutes late.
* SAN  1  946P  *  *     950P  *     Arrived:  4 minutes late.
