* Lincoln Service
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* STL  *  *     1  435A  *     435A  Departed:  On time.
* ALN  *  *     1  522A  *     553A  Departed:  31 minutes late.
* CRV  *  *     1  550A  *     623A  Departed:  33 minutes late.
* SPI  *  *     1  632A  *     709A  Departed:  37 minutes late.
* LCN  *  *     1  700A  *     736A  Departed:  36 minutes late.
* BNL  *  *     1  731A  *     808A  Departed:  37 minutes late.
* PON  *  *     1  759A  *     836A  Departed:  37 minutes late.
* DWT  *  *     1  817A  *     901A  Departed:  44 minutes late.
* JOL  *  *     1  859A  *     935A  Departed:  36 minutes late.
* SMT  *  *     1  924A  *     1001A Departed:  37 minutes late.
* CHI  1  1000A *  *     1028A *     Arrived:  28 minutes late.
