* Lincoln Service
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* STL  *  *     1  530P  *     530P  Departed:  On time.
* ALN  *  *     1  617P  *     631P  Departed:  14 minutes late.
* CRV  *  *     1  645P  *     708P  Departed:  23 minutes late.
* SPI  *  *     1  732P  *     745P  Departed:  13 minutes late.
* LCN  *  *     1  800P  *     814P  Departed:  14 minutes late.
* BNL  *  *     1  836P  *     900P  Departed:  24 minutes late.
* PON  *  *     1  904P  *     935P  Departed:  31 minutes late.
* DWT  *  *     1  922P  *     952P  Departed:  30 minutes late.
* JOL  *  *     1  1002P *     1029P Departed:  27 minutes late.
* SMT  *  *     1  1027P *     1114P Departed:  47 minutes late.
* CHI  1  1110P *  *     1137P *     Arrived:  27 minutes late.
