* Lincoln Service
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* CHI  *  *     1  700P  *     700P  Departed:  On time.
* SMT  *  *     1  722P  *     726P  Departed:  4 minutes late.
* JOL  *  *     1  750P  *     808P  Departed:  18 minutes late.
* DWT  *  *     1  824P  *     841P  Departed:  17 minutes late.
* PON  *  *     1  841P  *     858P  Departed:  17 minutes late.
* BNL  *  *     1  914P  *     936P  Departed:  22 minutes late.
* LCN  *  *     1  947P  *     1005P Departed:  18 minutes late.
* SPI  *  *     1  1024P *     1045P Departed:  21 minutes late.
* CRV  *  *     1  1104P *     1125P Departed:  21 minutes late.
* ALN  *  *     1  1133P *     1154P Departed:  21 minutes late.
* STL  2  1230A *  *     1234A *     Arrived:  4 minutes late.
