* Missouri River Runner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* KCY  *  *     1  400P  *     400P  Departed:  On time.
* IDP  *  *     1  419P  *     434P  Departed:  15 minutes late.
* LEE  *  *     1  436P  *     502P  Departed:  26 minutes late.
* WAR  *  *     1  519P  *     544P  Departed:  25 minutes late.
* SED  *  *     1  549P  *     619P  Departed:  30 minutes late.
* JEF  *  *     1  703P  *     739P  Departed:  36 minutes late.
* HEM  *  *     1  748P  *     827P  Departed:  39 minutes late.
* WAH  *  *     1  816P  *     854P  Departed:  38 minutes late.
* KWD  *  *     1  858P  *     935P  Departed:  37 minutes late.
* STL  1  940P  *  *     959P  *     Arrived:  19 minutes late.
