* Saluki
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* CDL  *  *     1  730A  *     730A  Departed:  On time.
* DQN  *  *     1  751A  *     752A  Departed:  1 minute late.
* CEN  *  *     1  823A  *     829A  Departed:  6 minutes late.
* EFG  *  *     1  907A  *     920A  Departed:  13 minutes late.
* MAT  *  *     1  931A  *     948A  Departed:  17 minutes late.
* CHM  *  *     1  1014A *     1031A Departed:  17 minutes late.
* RTL  *  *     1  1027A *     1049A Departed:  22 minutes late.
* GLM  *  *     1  1053A *     1118A Departed:  25 minutes late.
* KKI  *  *     1  1115A *     1148A Departed:  33 minutes late.
* HMW  *  *     1  1144A *     1222P Departed:  38 minutes late.
* CHI  1  100P  *  *     139P  *     Arrived:  39 minutes late.
