* Illini
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* CDL  *  *     1  415P  *     415P  Departed:  On time.
* DQN  *  *     1  436P  *     439P  Departed:  3 minutes late.
* CEN  *  *     1  508P  *     515P  Departed:  7 minutes late.
* EFG  *  *     1  552P  *     605P  Departed:  13 minutes late.
* MAT  *  *     1  616P  *     635P  Departed:  19 minutes late.
* CHM  *  *     1  659P  *     718P  Departed:  19 minutes late.
* RTL  *  *     1  712P  *     736P  Departed:  24 minutes late.
* GLM  *  *     1  738P  *     806P  Departed:  28 minutes late.
* KKI  *  *     1  800P  *     832P  Departed:  32 minutes late.
* HMW  *  *     1  827P  *     911P  Departed:  44 minutes late.
* CHI  1  945P  *  *     1002P *     Arrived:  17 minutes late.
