* Illini
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* CHI  *  *     1  520P  *     520P  Departed:  On time.
* HMW  *  *     1  601P  *     615P  Departed:  14 minutes late.
* KKI  *  *     1  627P  *     643P  Departed:  16 minutes late.
* GLM  *  *     1  649P  *     709P  Departed:  20 minutes late.
* RTL  *  *     1  715P  *     746P  Departed:  31 minutes late.
* CHM  *  *     1  730P  *     822P  Departed:  52 minutes late.
* MAT  *  *     1  810P  *     903P  Departed:  53 minutes late.
* EFG  *  *     1  834P  *     930P  Departed:  56 minutes late.
* CEN  *  *     1  921P  *     1018P Departed:  57 minutes late.
* DQN  *  *     1  954P  *     1051P Departed:  57 minutes late.
* CDL  1  1050P *  *     1110P *     Arrived:  20 minutes late.
