* Illini
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* CHI  *  *     1  405P  *     405P  Departed:  On time.
* HMW  *  *     1  446P  *     452P  Departed:  6 minutes late.
* KKI  *  *     1  512P  *     524P  Departed:  12 minutes late.
* GLM  *  *     1  534P  *     548P  Departed:  14 minutes late.
* RTL  *  *     1  600P  *     618P  Departed:  18 minutes late.
* CHM  *  *     1  615P  *     639P  Departed:  24 minutes late.
* MAT  *  *     1  655P  *     733P  Departed:  38 minutes late.
* EFG  *  *     1  719P  *     803P  Departed:  44 minutes late.
* CEN  *  *     1  806P  *     855P  Departed:  49 minutes late.
* DQN  *  *     1  839P  *     934P  Departed:  55 minutes late.
* CDL  1  935P  *  *     956P  *     Arrived:  21 minutes late.
