* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* SAN  *  *     1  1041A *     1041A Departed:  On time.
* OLT  *  *     1  1048A *     1053A Departed:  5 minutes late.
* SRB  *  *     1  1110A *     1131A Departed:  21 minutes late.
* SOL  *  *     1  1124A *     1142A Departed:  18 minutes late.
* CBV  *  *     1  1139A *     1158A Departed:  19 minutes late.
* OSD  *  *     1  1148A *     1205P Departed:  17 minutes late.
* SNC  *  *     1  1219P *     1250P Departed:  31 minutes late.
* IRV  *  *     1  1233P *     105P  Departed:  32 minutes late.
* SNA  *  *     1  1244P *     116P  Departed:  32 minutes late.
* ANA  *  *     1  1254P *     126P  Departed:  32 minutes late.
* FUL  *  *     1  104P  *     136P  Departed:  32 minutes late.
* LAX  1  143P  *  *     215P  *     Arrived:  32 minutes late.
