* THIS TRAIN EXPERIENCED A SERVICE DISRUPTION.
* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* SAN  *  *     1  130P  *     130P  Departed:  On time.
* OLT  *  *     1  137P  *     140P  Departed:  3 minutes late.
* SOL  *  *     1  211P  *     212P  Departed:  1 minute late.
* OSD  *  *     1  229P  *     230P  Departed:  1 minute late.
* SNC  *  *     1  301P  *     302P  Departed:  1 minute late.
* IRV  *  *     1  316P  *     317P  Departed:  1 minute late.
* SNA  *  *     1  327P  *     328P  Departed:  1 minute late.
* ANA  *  *     1  336P  *     550P  Departed:  2 hours, 14 minutes late.
* FUL  *  *     1  345P  *     613P  Departed:  2 hours, 28 minutes late.
* LAX  1  429P  *  *     647P  *     Arrived:  2 hours, 18 minutes late.
