* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* SAN  *  *     1  852P  *     1050P Departed:  1 hour, 58 minutes late.
* OLT  *  *     1  859P  *     1100P Departed:  2 hours, 1 minute late.
* SRB  *  *     1  921P  *     1130P Departed:  2 hours, 9 minutes late.
* SOL  *  *     1  933P  *     1142P Departed:  2 hours, 9 minutes late.
* CBV  *  *     1  946P  *     1155P Departed:  2 hours, 9 minutes late.
* OSD  *  *     1  955P  *     1201A Departed:  2 hours, 6 minutes late.
* SNC  *  *     1  1028P *     1237A Departed:  2 hours, 9 minutes late.
* IRV  *  *     1  1043P *     1253A Departed:  2 hours, 10 minutes late.
* SNA  *  *     1  1054P *     103A  Departed:  2 hours, 9 minutes late.
* ANA  *  *     1  1103P *     111A  Departed:  2 hours, 8 minutes late.
* FUL  *  *     1  1112P *     120A  Departed:  2 hours, 8 minutes late.
* LAX  1  1152P *  *     152A  *     Arrived:  2 hours late.
