* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* SAN  *  *     1  852P  *     852P  Departed:  On time.
* OLT  *  *     1  859P  *     900P  Departed:  1 minute late.
* SRB  *  *     1  921P  *     923P  Departed:  2 minutes late.
* SOL  *  *     1  933P  *     935P  Departed:  2 minutes late.
* CBV  *  *     1  946P  *     948P  Departed:  2 minutes late.
* OSD  *  *     1  955P  *     1002P Departed:  7 minutes late.
* SNC  *  *     1  1028P *     1048P Departed:  20 minutes late.
* IRV  *  *     1  1043P *     1103P Departed:  20 minutes late.
* SNA  *  *     1  1054P *     1114P Departed:  20 minutes late.
* ANA  *  *     1  1103P *     1125P Departed:  22 minutes late.
* FUL  *  *     1  1112P *     1135P Departed:  23 minutes late.
* LAX  1  1152P *  *     1214A *     Arrived:  22 minutes late.
