* Keystone Service
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* PHL  *  *     1  725A  *     725A  Departed:  On time.
* ARD  *  *     1  737A  *     743A  Departed:  6 minutes late.
* PAO  *  *     1  750A  *     756A  Departed:  6 minutes late.
* EXT  *  *     1  757A  *     804A  Departed:  7 minutes late.
* DOW  *  *     1  801A  *     811A  Departed:  10 minutes late.
* COT  *  *     1  807A  *     818A  Departed:  11 minutes late.
* PAR  *  *     1  813A  *     825A  Departed:  12 minutes late.
* LNC  *  *     1  834A  *     843A  Departed:  9 minutes late.
* MJY  *  *     1  843A  *     852A  Departed:  9 minutes late.
* ELT  *  *     1  850A  *     900A  Departed:  10 minutes late.
* MID  *  *     1  857A  *     905A  Departed:  8 minutes late.
* HAR  1  915A  *  *     913A  *     Arrived:  2 minutes early.
