* Keystone Service
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* PHL  *  *     1  1059P *     1059P Departed:  On time.
* ARD  *  *     1  1111P *     1114P Departed:  3 minutes late.
* PAO  *  *     1  1124P *     1125P Departed:  1 minute late.
* EXT  *  *     1  1132P *     1133P Departed:  1 minute late.
* DOW  *  *     1  1136P *     1141P Departed:  5 minutes late.
* COT  *  *     1  1142P *     1147P Departed:  5 minutes late.
* PAR  *  *     1  1148P *     1155P Departed:  7 minutes late.
* LNC  *  *     2  1206A *     1212A Departed:  6 minutes late.
* MJY  *  *     2  1218A *     1222A Departed:  4 minutes late.
* ELT  *  *     2  1225A *     1231A Departed:  6 minutes late.
* MID  *  *     2  1232A *     1236A Departed:  4 minutes late.
* HAR  2  1250A *  *     1248A *     Arrived:  2 minutes early.
