* Downeaster
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* BON  *  *     1  905A  *     905A  Departed:  On time.
* WOB  *  *     1  923A  *     927A  Departed:  4 minutes late.
* HHL  *  *     1  953A  *     955A  Departed:  2 minutes late.
* EXR  *  *     1  1014A *     1015A Departed:  1 minute late.
* DHM  *  *     1  1027A *     1028A Departed:  1 minute late.
* DOV  *  *     1  1035A *     1036A Departed:  1 minute late.
* WEM  *  *     1  1053A *     1054A Departed:  1 minute late.
* SAO  *  *     1  1110A *     1111A Departed:  1 minute late.
* POR  *  *     1  1135A *     1140A Departed:  5 minutes late.
* FRE  *  *     1  1210P *     1229P Departed:  19 minutes late.
* BRK  1  1225P *  *     1242P *     Arrived:  17 minutes late.
