* Downeaster
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* BON  *  *     1  615P  *     615P  Departed:  On time.
* WOB  *  *     1  633P  *     636P  Departed:  3 minutes late.
* HHL  *  *     1  702P  *     705P  Departed:  3 minutes late.
* EXR  *  *     1  722P  *     728P  Departed:  6 minutes late.
* DHM  *  *     1  743P  *     751P  Departed:  8 minutes late.
* DOV  *  *     1  751P  *     800P  Departed:  9 minutes late.
* WEM  *  *     1  809P  *     820P  Departed:  11 minutes late.
* SAO  *  *     1  826P  *     838P  Departed:  12 minutes late.
* ORB  *  *     1  833P  *     847P  Departed:  14 minutes late.
* POR  *  *     1  855P  *     930P  Departed:  35 minutes late.
* FRE  *  *     1  527P  *     1014P Departed:  49 minutes late.
* BRK  1  940P  *  *     1027P *     Arrived:  47 minutes late.
