* Downeaster
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* BON  *  *     1  615P  *     615P  Departed:  On time.
* WOB  *  *     1  633P  *     635P  Departed:  2 minutes late.
* HHL  *  *     1  702P  *     713P  Departed:  11 minutes late.
* EXR  *  *     1  722P  *     734P  Departed:  12 minutes late.
* DHM  *  *     1  743P  *     757P  Departed:  14 minutes late.
* DOV  *  *     1  751P  *     806P  Departed:  15 minutes late.
* WEM  *  *     1  809P  *     827P  Departed:  18 minutes late.
* SAO  *  *     1  826P  *     843P  Departed:  17 minutes late.
* ORB  *  *     1  833P  *     853P  Departed:  20 minutes late.
* POR  1  850P  *  *     909P  *     Arrived:  19 minutes late.
