* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* GTA  *  *     1  1235P *     1237P Departed:  2 minutes late.
* SBA  1  1246P 1  1249P 1256P 1259P Arrived:  10 minutes late.           |  Departed:  10 minutes late.
* CPN  *  *     1  104P  *     135P  Departed:  31 minutes late.
* VEC  *  *     1  126P  *     201P  Departed:  35 minutes late.
* OXN  *  *     1  142P  *     225P  Departed:  43 minutes late.
* CML  *  *     1  153P  *     237P  Departed:  44 minutes late.
* MPK  *  *     1  207P  *     252P  Departed:  45 minutes late.
* SIM  *  *     1  222P  *     306P  Departed:  44 minutes late.
* CWT  *  *     1  239P  *     319P  Departed:  40 minutes late.
* VNC  *  *     1  253P  *     333P  Departed:  40 minutes late.
* BUR  *  *     1  301P  *     351P  Departed:  50 minutes late.
* GDL  *  *     1  311P  *     401P  Departed:  50 minutes late.
* LAX  1  335P  1  408P  418P  426P  Arrived:  43 minutes late.           |  Departed:  18 minutes late.
* FUL  *  *     1  439P  *     506P  Departed:  27 minutes late.
* ANA  *  *     1  447P  *     514P  Departed:  27 minutes late.
* SNA  *  *     1  456P  *     524P  Departed:  28 minutes late.
* IRV  *  *     1  509P  *     536P  Departed:  27 minutes late.
* SNC  *  *     1  524P  *     551P  Departed:  27 minutes late.
* OSD  *  *     1  601P  *     625P  Departed:  24 minutes late.
* SOL  *  *     1  620P  *     644P  Departed:  24 minutes late.
* OLT  *  *     1  654P  *     718P  Departed:  24 minutes late.
* SAN  1  707P  *  *     725P  *     Arrived:  18 minutes late.
