* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* GTA  *  *     1  1235P *     1235P Departed:  On time.
* SBA  1  1246P 1  1249P 1247P 1254P Arrived:  1 minute late.             |  Departed:  5 minutes late.
* CPN  *  *     1  104P  *     202P  Departed:  58 minutes late.
* VEC  *  *     1  126P  *     228P  Departed:  1 hour, 2 minutes late.
* OXN  *  *     1  142P  *     248P  Departed:  1 hour, 6 minutes late.
* CML  *  *     1  153P  *     301P  Departed:  1 hour, 8 minutes late.
* MPK  *  *     1  207P  *     316P  Departed:  1 hour, 9 minutes late.
* SIM  *  *     1  222P  *     330P  Departed:  1 hour, 8 minutes late.
* CWT  *  *     1  239P  *     345P  Departed:  1 hour, 6 minutes late.
* VNC  *  *     1  253P  *     402P  Departed:  1 hour, 9 minutes late.
* BUR  *  *     1  301P  *     411P  Departed:  1 hour, 10 minutes late.
* GDL  *  *     1  311P  *     422P  Departed:  1 hour, 11 minutes late.
* LAX  1  335P  *  *     433P  *     Arrived:  58 minutes late.
