* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* GTA  *  *     1  1235P *     1235P Departed:  On time.
* SBA  1  1246P 1  1249P 1258P 125P  Arrived:  12 minutes late.           |  Departed:  36 minutes late.
* CPN  *  *     1  104P  *     153P  Departed:  49 minutes late.
* VEC  *  *     1  126P  *     217P  Departed:  51 minutes late.
* OXN  *  *     1  142P  *     242P  Departed:  1 hour late.
* CML  *  *     1  153P  *     254P  Departed:  1 hour, 1 minute late.
* MPK  *  *     1  207P  *     308P  Departed:  1 hour, 1 minute late.
* SIM  *  *     1  222P  *     326P  Departed:  1 hour, 4 minutes late.
* CWT  *  *     1  239P  *     346P  Departed:  1 hour, 7 minutes late.
* VNC  *  *     1  253P  *     436P  Departed:  1 hour, 43 minutes late.
* BUR  *  *     1  301P  *     444P  Departed:  1 hour, 43 minutes late.
* GDL  *  *     1  311P  *     454P  Departed:  1 hour, 43 minutes late.
* LAX  1  335P  1  408P  506P  452P  Arrived:  1 hour, 31 minutes late.   |  Departed:  44 minutes late.
* FUL  *  *     1  439P  *     535P  Departed:  56 minutes late.
* ANA  *  *     1  447P  *     544P  Departed:  57 minutes late.
* SNA  *  *     1  456P  *     553P  Departed:  57 minutes late.
* IRV  *  *     1  509P  *     607P  Departed:  58 minutes late.
* SNC  *  *     1  524P  *     621P  Departed:  57 minutes late.
* OSD  *  *     1  601P  *     656P  Departed:  55 minutes late.
* SOL  *  *     1  620P  *     714P  Departed:  54 minutes late.
* OLT  *  *     1  654P  *     802P  Departed:  1 hour, 8 minutes late.
* SAN  1  707P  *  *     810P  *     Arrived:  1 hour, 3 minutes late.
