* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* GTA  *  *     1  1235P *     1235P Departed:  On time.
* SBA  1  1246P 1  1249P 1247P 1250P Arrived:  1 minute late.             |  Departed:  1 minute late.
* CPN  *  *     1  104P  *     105P  Departed:  1 minute late.
* VEC  *  *     1  126P  *     128P  Departed:  2 minutes late.
* OXN  *  *     1  142P  *     143P  Departed:  1 minute late.
* CML  *  *     1  153P  *     155P  Departed:  2 minutes late.
* MPK  *  *     1  207P  *     211P  Departed:  4 minutes late.
* SIM  *  *     1  222P  *     228P  Departed:  6 minutes late.
* CWT  *  *     1  239P  *     241P  Departed:  2 minutes late.
* VNC  *  *     1  253P  *     254P  Departed:  1 minute late.
* BUR  *  *     1  301P  *     302P  Departed:  1 minute late.
* GDL  *  *     1  311P  *     313P  Departed:  2 minutes late.
* LAX  1  335P  1  408P  324P  408P  Arrived:  11 minutes early.          |  Departed:  On time.
* FUL  *  *     1  439P  *     439P  Departed:  On time.
* ANA  *  *     1  447P  *     448P  Departed:  1 minute late.
* SNA  *  *     1  456P  *     456P  Departed:  On time.
* IRV  *  *     1  509P  *     509P  Departed:  On time.
* SNC  *  *     1  524P  *     535P  Departed:  11 minutes late.
* OSD  *  *     1  601P  *     612P  Departed:  11 minutes late.
* SOL  *  *     1  620P  *     627P  Departed:  7 minutes late.
* OLT  *  *     1  654P  *     702P  Departed:  8 minutes late.
* SAN  1  707P  *  *     732P  *     Arrived:  25 minutes late.
