* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* GTA  *  *     1  1235P *     1239P Departed:  4 minutes late.
* SBA  1  1246P 1  1249P 1251P 1256P Arrived:  5 minutes late.            |  Departed:  7 minutes late.
* CPN  *  *     1  104P  *     111P  Departed:  7 minutes late.
* VEC  *  *     1  126P  *     134P  Departed:  8 minutes late.
* OXN  *  *     1  142P  *     149P  Departed:  7 minutes late.
* CML  *  *     1  153P  *     202P  Departed:  9 minutes late.
* MPK  *  *     1  207P  *     216P  Departed:  9 minutes late.
* SIM  *  *     1  222P  *     231P  Departed:  9 minutes late.
* CWT  *  *     1  239P  *     250P  Departed:  11 minutes late.
* VNC  *  *     1  253P  *     303P  Departed:  10 minutes late.
* BUR  *  *     1  301P  *     311P  Departed:  10 minutes late.
* GDL  *  *     1  311P  *     323P  Departed:  12 minutes late.
* LAX  1  335P  1  408P  334P  408P  Arrived:  1 minute early.            |  Departed:  On time.
* FUL  *  *     1  439P  *     439P  Departed:  On time.
* ANA  *  *     1  447P  *     448P  Departed:  1 minute late.
* SNA  *  *     1  456P  *     457P  Departed:  1 minute late.
* IRV  *  *     1  509P  *     509P  Departed:  On time.
* SNC  *  *     1  524P  *     524P  Departed:  On time.
* OSD  *  *     1  601P  *     601P  Departed:  On time.
* SOL  *  *     1  620P  *     620P  Departed:  On time.
* OLT  *  *     1  655P  *     705P  Departed:  10 minutes late.
* SAN  1  707P  *  *     713P  *     Arrived:  6 minutes late.
