* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* GTA  *  *     1  1235P *     1235P Departed:  On time.
* SBA  1  1246P 1  1249P 1245P 1250P Arrived:  1 minute early.            |  Departed:  1 minute late.
* CPN  *  *     1  104P  *     104P  Departed:  On time.
* VEC  *  *     1  126P  *     126P  Departed:  On time.
* OXN  *  *     1  142P  *     146P  Departed:  4 minutes late.
* CML  *  *     1  153P  *     201P  Departed:  8 minutes late.
* MPK  *  *     1  207P  *     217P  Departed:  10 minutes late.
* SIM  *  *     1  222P  *     232P  Departed:  10 minutes late.
* CWT  *  *     1  239P  *     246P  Departed:  7 minutes late.
* VNC  *  *     1  253P  *     259P  Departed:  6 minutes late.
* BUR  *  *     1  301P  *     307P  Departed:  6 minutes late.
* GDL  *  *     1  311P  *     317P  Departed:  6 minutes late.
* LAX  1  335P  *  *     329P  *     Arrived:  6 minutes early.
