* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* GTA  *  *     1  1235P *     1235P Departed:  On time.
* SBA  1  1246P 1  1249P 1246P 142P  Arrived:  On time.                   |  Departed:  53 minutes late.
* CPN  *  *     1  104P  *     157P  Departed:  53 minutes late.
* VEC  *  *     1  126P  *     221P  Departed:  55 minutes late.
* OXN  *  *     1  142P  *     235P  Departed:  53 minutes late.
* CML  *  *     1  153P  *     247P  Departed:  54 minutes late.
* MPK  *  *     1  207P  *     300P  Departed:  53 minutes late.
* SIM  *  *     1  222P  *     316P  Departed:  54 minutes late.
* CWT  *  *     1  239P  *     330P  Departed:  51 minutes late.
* VNC  *  *     1  253P  *     344P  Departed:  51 minutes late.
* BUR  *  *     1  301P  *     352P  Departed:  51 minutes late.
* GDL  *  *     1  311P  *     404P  Departed:  53 minutes late.
* LAX  1  335P  1  408P  418P  433P  Arrived:  43 minutes late.           |  Departed:  25 minutes late.
* FUL  *  *     1  439P  *     521P  Departed:  42 minutes late.
* ANA  *  *     1  447P  *     530P  Departed:  43 minutes late.
* SNA  *  *     1  456P  *     539P  Departed:  43 minutes late.
* IRV  *  *     1  509P  *     551P  Departed:  42 minutes late.
* SNC  *  *     1  524P  *     607P  Departed:  43 minutes late.
* OSD  *  *     1  601P  *     640P  Departed:  39 minutes late.
* SOL  *  *     1  620P  *     658P  Departed:  38 minutes late.
* OLT  *  *     1  655P  *     744P  Departed:  49 minutes late.
* SAN  1  707P  *  *     751P  *     Arrived:  44 minutes late.
