* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* GTA  *  *     1  1235P *     1246P Departed:  11 minutes late.
* SBA  1  1246P 1  1249P 1258P 102P  Arrived:  12 minutes late.           |  Departed:  13 minutes late.
* CPN  *  *     1  104P  *     129P  Departed:  25 minutes late.
* VEC  *  *     1  126P  *     152P  Departed:  26 minutes late.
* OXN  *  *     1  142P  *     209P  Departed:  27 minutes late.
* CML  *  *     1  153P  *     226P  Departed:  33 minutes late.
* MPK  *  *     1  207P  *     239P  Departed:  32 minutes late.
* SIM  *  *     1  222P  *     253P  Departed:  31 minutes late.
* CWT  *  *     1  239P  *     308P  Departed:  29 minutes late.
* VNC  *  *     1  253P  *     320P  Departed:  27 minutes late.
* BUR  *  *     1  301P  *     329P  Departed:  28 minutes late.
* GDL  *  *     1  311P  *     340P  Departed:  29 minutes late.
* LAX  1  335P  1  408P  352P  408P  Arrived:  17 minutes late.           |  Departed:  On time.
* FUL  *  *     1  439P  *     439P  Departed:  On time.
* ANA  *  *     1  447P  *     447P  Departed:  On time.
* SNA  *  *     1  456P  *     456P  Departed:  On time.
* IRV  *  *     1  509P  *     509P  Departed:  On time.
* SNC  *  *     1  524P  *     524P  Departed:  On time.
* OSD  1  600P  1  601P  559P  601P  Arrived:  1 minute early.            |  Departed:  On time.
* SOL  *  *     1  620P  *     622P  Departed:  2 minutes late.
* OLT  *  *     1  655P  *     700P  Departed:  5 minutes late.
* SAN  1  707P  *  *     707P  *     Arrived:  On time.
