* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* GTA  *  *     1  1235P *     1235P Departed:  On time.
* SBA  1  1246P 1  1249P 1247P 111P  Arrived:  1 minute late.             |  Departed:  22 minutes late.
* CPN  *  *     1  104P  *     127P  Departed:  23 minutes late.
* VEC  *  *     1  126P  *     150P  Departed:  24 minutes late.
* OXN  *  *     1  142P  *     204P  Departed:  22 minutes late.
* CML  *  *     1  153P  *     216P  Departed:  23 minutes late.
* MPK  *  *     1  207P  *     229P  Departed:  22 minutes late.
* SIM  *  *     1  222P  *     243P  Departed:  21 minutes late.
* CWT  *  *     1  239P  *     258P  Departed:  19 minutes late.
* VNC  *  *     1  253P  *     311P  Departed:  18 minutes late.
* BUR  *  *     1  301P  *     321P  Departed:  20 minutes late.
* GDL  *  *     1  311P  *     332P  Departed:  21 minutes late.
* LAX  1  335P  1  408P  345P  408P  Arrived:  10 minutes late.           |  Departed:  On time.
* FUL  *  *     1  439P  *     459P  Departed:  20 minutes late.
* ANA  *  *     1  447P  *     508P  Departed:  21 minutes late.
* SNA  *  *     1  456P  *     516P  Departed:  20 minutes late.
* IRV  *  *     1  509P  *     528P  Departed:  19 minutes late.
* SNC  *  *     1  524P  *     542P  Departed:  18 minutes late.
* OSD  1  600P  1  601P  621P  625P  Arrived:  21 minutes late.           |  Departed:  24 minutes late.
* SOL  *  *     1  620P  *     645P  Departed:  25 minutes late.
* OLT  *  *     1  655P  *     740P  Departed:  45 minutes late.
* SAN  1  707P  *  *     749P  *     Arrived:  42 minutes late.
