* Pacific Surfliner
* +---------------- Station code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* LAX  *  *     1  646P  *     646P  Departed:  On time.
* FUL  *  *     1  717P  *     719P  Departed:  2 minutes late.
* ANA  *  *     1  726P  *     727P  Departed:  1 minute late.
* SNA  *  *     1  734P  *     735P  Departed:  1 minute late.
* IRV  *  *     1  746P  *     746P  Departed:  On time.
* SNC  *  *     1  800P  *     800P  Departed:  On time.
* OSD  *  *     1  845P  *     845P  Departed:  On time.
* SOL  *  *     1  859P  *     901P  Departed:  2 minutes late.
* OLT  *  *     1  927P  *     929P  Departed:  2 minutes late.
* SAN  1  946P  *  *     937P  *     Arrived:  9 minutes early.
