* Lincoln Service
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* STL  *  *     1  435A  *     435A  Departed:  On time.
* ALN  *  *     1  522A  *     530A  Departed:  8 minutes late.
* CRV  *  *     1  550A  *     607A  Departed:  17 minutes late.
* SPI  *  *     1  632A  *     645A  Departed:  13 minutes late.
* LCN  *  *     1  700A  *     715A  Departed:  15 minutes late.
* BNL  *  *     1  731A  *     747A  Departed:  16 minutes late.
* PON  *  *     1  759A  *     815A  Departed:  16 minutes late.
* DWT  *  *     1  817A  *     831A  Departed:  14 minutes late.
* JOL  *  *     1  859A  *     906A  Departed:  7 minutes late.
* SMT  *  *     1  924A  *     930A  Departed:  6 minutes late.
* CHI  1  1000A *  *     951A  *     Arrived:  9 minutes early.
