* Lincoln Service
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* STL  *  *     1  300P  *     301P  Departed:  1 minute late.
* ALN  *  *     1  347P  *     347P  Departed:  On time.
* CRV  *  *     1  414P  *     419P  Departed:  5 minutes late.
* SPI  *  *     1  456P  *     507P  Departed:  11 minutes late.
* LCN  *  *     1  524P  *     536P  Departed:  12 minutes late.
* BNL  *  *     1  556P  *     610P  Departed:  14 minutes late.
* PON  *  *     1  623P  *     638P  Departed:  15 minutes late.
* DWT  *  *     1  641P  *     705P  Departed:  24 minutes late.
* JOL  *  *     1  726P  *     739P  Departed:  13 minutes late.
* SMT  *  *     1  751P  *     805P  Departed:  14 minutes late.
* CHI  1  840P  *  *     831P  *     Arrived:  9 minutes early.
