* Carl Sandburg Extra
* +---------------- Station code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* QCY  *  *     1  100P  *     143P  Departed:  43 minutes late.
* MAC  *  *     1  149P  *     231P  Departed:  42 minutes late.
* GBB  *  *     1  225P  *     319P  Departed:  54 minutes late.
* KEE  *  *     1  254P  *     349P  Departed:  55 minutes late.
* PCT  *  *     1  318P  *     417P  Departed:  59 minutes late.
* MDT  *  *     1  340P  *     446P  Departed:  1 hour, 6 minutes late.
* PLO  *  *     1  409P  *     513P  Departed:  1 hour, 4 minutes late.
* NPV  *  *     1  433P  *     536P  Departed:  1 hour, 2 minutes late.
* LAG  *  *     1  449P  *     552P  Departed:  1 hour, 2 minutes late.
* CHI  1  522P  *  *     610P  *     Arrived:  48 minutes late.
