* Illini
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* CHI  *  *     1  405P  *     405P  Departed:  On time.
* HMW  *  *     1  446P  *     451P  Departed:  5 minutes late.
* KKI  *  *     1  512P  *     531P  Departed:  19 minutes late.
* GLM  *  *     1  534P  *     554P  Departed:  20 minutes late.
* RTL  *  *     1  600P  *     623P  Departed:  23 minutes late.
* CHM  *  *     1  615P  *     639P  Departed:  24 minutes late.
* MAT  *  *     1  655P  *     718P  Departed:  23 minutes late.
* EFG  *  *     1  719P  *     746P  Departed:  27 minutes late.
* CEN  *  *     1  806P  *     835P  Departed:  29 minutes late.
* DQN  *  *     1  839P  *     908P  Departed:  29 minutes late.
* CDL  1  935P  *  *     926P  *     Arrived:  9 minutes early.
