* Illini
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* CHI  *  *     1  520P  *     405P  Departed:  On time.
* HMW  *  *     1  601P  *     448P  Departed:  2 minutes late.
* KKI  *  *     1  627P  *     518P  Departed:  6 minutes late.
* GLM  *  *     1  649P  *     541P  Departed:  7 minutes late.
* RTL  *  *     1  715P  *     610P  Departed:  10 minutes late.
* CHM  *  *     1  730P  *     630P  Departed:  15 minutes late.
* MAT  *  *     1  810P  *     713P  Departed:  18 minutes late.
* EFG  *  *     1  834P  *     801P  Departed:  42 minutes late.
* CEN  *  *     1  921P  *     853P  Departed:  47 minutes late.
* DQN  *  *     1  954P  *     927P  Departed:  48 minutes late.
* CDL  1  1050P *  *     946P  *     Arrived:  11 minutes late.
