* Pennsylvanian
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* NYP  *  *     1  1052A *     1101A Departed:  9 minutes late.
* NWK  1  1107A 1  1109A 1119A 1121A Arrived:  12 minutes late.           |  Departed:  12 minutes late.
  TRE  1  1142A 1  1144A             
* PHL  1  1215P 1  1242P 1227P 105P  Arrived:  12 minutes late.           |  Departed:  23 minutes late.
* PAO  *  *     1  112P  *     142P  Departed:  30 minutes late.
* LNC  *  *     1  152P  *     229P  Departed:  37 minutes late.
* ELT  *  *     1  206P  *     245P  Departed:  39 minutes late.
* HAR  1  226P  1  236P  259P  306P  Arrived:  33 minutes late.           |  Departed:  30 minutes late.
* LEW  *  *     1  346P  *     414P  Departed:  28 minutes late.
* HGD  *  *     1  423P  *     450P  Departed:  27 minutes late.
* TYR  *  *     1  449P  *     516P  Departed:  27 minutes late.
* ALT  *  *     1  513P  *     539P  Departed:  26 minutes late.
* JST  *  *     1  610P  *     654P  Departed:  44 minutes late.
* LAB  *  *     1  651P  *     738P  Departed:  47 minutes late.
* GNB  *  *     1  702P  *     751P  Departed:  49 minutes late.
* PGH  1  759P  *  *     831P  *     Arrived:  32 minutes late.
