* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* SAN  *  *     1  821A  *     821A  Departed:  On time.
* OLT  *  *     1  828A  *     828A  Departed:  On time.
* SRB  *  *     1  850A  *     859A  Departed:  9 minutes late.
* SOL  *  *     1  905A  *     909A  Departed:  4 minutes late.
* CBV  *  *     1  919A  *     922A  Departed:  3 minutes late.
* OSD  *  *     1  930A  *     932A  Departed:  2 minutes late.
* SNC  *  *     1  1005A *     1010A Departed:  5 minutes late.
* IRV  *  *     1  1020A *     1024A Departed:  4 minutes late.
* SNA  *  *     1  1031A *     1036A Departed:  5 minutes late.
* ANA  *  *     1  1040A *     1045A Departed:  5 minutes late.
* FUL  *  *     1  1049A *     1054A Departed:  5 minutes late.
* LAX  1  1129A *  *     1130A *     Arrived:  1 minute late.
