* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* SAN  *  *     1  1041A *     1041A Departed:  On time.
* OLT  *  *     1  1048A *     1050A Departed:  2 minutes late.
* SRB  *  *     1  1110A *     1113A Departed:  3 minutes late.
* SOL  *  *     1  1124A *     1133A Departed:  9 minutes late.
* CBV  *  *     1  1139A *     1146A Departed:  7 minutes late.
* OSD  *  *     1  1148A *     1154A Departed:  6 minutes late.
* SNC  *  *     1  1219P *     1229P Departed:  10 minutes late.
* IRV  *  *     1  1233P *     1245P Departed:  12 minutes late.
* SNA  *  *     1  1244P *     1256P Departed:  12 minutes late.
* ANA  *  *     1  1254P *     105P  Departed:  11 minutes late.
* FUL  *  *     1  104P  *     114P  Departed:  10 minutes late.
* LAX  1  143P  *  *     146P  *     Arrived:  3 minutes late.
