* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* SAN  *  *     1  1041A *     1041A Departed:  On time.
* OLT  *  *     1  1048A *     1048A Departed:  On time.
* SRB  *  *     1  1110A *     1111A Departed:  1 minute late.
* SOL  *  *     1  1124A *     1126A Departed:  2 minutes late.
* CBV  *  *     1  1139A *     1142A Departed:  3 minutes late.
* OSD  *  *     1  1148A *     1149A Departed:  1 minute late.
* SNC  *  *     1  1219P *     1222P Departed:  3 minutes late.
* IRV  *  *     1  1233P *     1237P Departed:  4 minutes late.
* SNA  *  *     1  1244P *     1248P Departed:  4 minutes late.
* ANA  *  *     1  1254P *     1258P Departed:  4 minutes late.
* FUL  *  *     1  104P  *     107P  Departed:  3 minutes late.
* LAX  1  143P  *  *     139P  *     Arrived:  4 minutes early.
