* THIS TRAIN EXPERIENCED A SERVICE DISRUPTION.
* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* SAN  *  *     1  247P  *     247P  Departed:  On time.
* OLT  *  *     1  254P  *     300P  Departed:  6 minutes late.
* SOL  *  *     1  328P  *     349P  Departed:  21 minutes late.
* OSD  *  *     1  345P  *     412P  Departed:  27 minutes late.
* SNP  *  *     1  407P  *     435P  Departed:  28 minutes late.
* SNC  *  *     1  422P  *     452P  Departed:  30 minutes late.
* IRV  *  *     1  438P  *     509P  Departed:  31 minutes late.
* SNA  *  *     1  451P  *     520P  Departed:  29 minutes late.
* ANA  *  *     1  501P  *     555P  Departed:  54 minutes late.
* FUL  *  *     1  510P  *     620P  Departed:  1 hour, 10 minutes late.
* LAX  1  546P  *  *     657P  *     Arrived:  1 hour, 11 minutes late.
