* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* LAX  *  *     1  715P  *     715P  Departed:  On time.
* FUL  *  *     1  746P  *     746P  Departed:  On time.
* ANA  *  *     1  754P  *     759P  Departed:  5 minutes late.
* SNA  *  *     1  803P  *     808P  Departed:  5 minutes late.
* IRV  *  *     1  816P  *     823P  Departed:  7 minutes late.
* SNC  *  *     1  832P  *     847P  Departed:  15 minutes late.
* OSD  *  *     1  905P  *     921P  Departed:  16 minutes late.
* CBV  *  *     1  910P  *     926P  Departed:  16 minutes late.
* SOL  *  *     1  931P  *     944P  Departed:  13 minutes late.
* SRB  *  *     1  940P  *     954P  Departed:  14 minutes late.
* OLT  *  *     1  1002P *     1017P Departed:  15 minutes late.
* SAN  1  1014P *  *     1024P *     Arrived:  10 minutes late.
