* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* SAN  *  *     1  852P  *     950P  Departed:  58 minutes late.
* OLT  *  *     1  859P  *     1006P Departed:  1 hour, 7 minutes late.
* SRB  *  *     1  921P  *     1042P Departed:  1 hour, 21 minutes late.
* SOL  *  *     1  933P  *     1103P Departed:  1 hour, 30 minutes late.
* CBV  *  *     1  946P  *     1117P Departed:  1 hour, 31 minutes late.
* OSD  *  *     1  955P  *     1126P Departed:  1 hour, 31 minutes late.
* SNC  *  *     1  1028P *     1203A Departed:  1 hour, 35 minutes late.
* IRV  *  *     1  1043P *     1218A Departed:  1 hour, 35 minutes late.
* SNA  *  *     1  1054P *     1229A Departed:  1 hour, 35 minutes late.
* ANA  *  *     1  1103P *     1238A Departed:  1 hour, 35 minutes late.
* FUL  *  *     1  1112P *     1247A Departed:  1 hour, 35 minutes late.
* LAX  1  1152P *  *     119A  *     Arrived:  1 hour, 27 minutes late.
