* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* SAN  *  *     1  852P  *     852P  Departed:  On time.
* OLT  *  *     1  859P  *     900P  Departed:  1 minute late.
* SRB  *  *     1  921P  *     924P  Departed:  3 minutes late.
* SOL  *  *     1  933P  *     934P  Departed:  1 minute late.
* CBV  *  *     1  946P  *     948P  Departed:  2 minutes late.
* OSD  *  *     1  955P  *     1003P Departed:  8 minutes late.
* SNC  *  *     1  1028P *     1039P Departed:  11 minutes late.
* IRV  *  *     1  1043P *     1055P Departed:  12 minutes late.
* SNA  *  *     1  1054P *     1107P Departed:  13 minutes late.
* ANA  *  *     1  1103P *     1116P Departed:  13 minutes late.
* FUL  *  *     1  1112P *     1127P Departed:  15 minutes late.
* LAX  1  1152P *  *     1200A *     Arrived:  8 minutes late.
