* Keystone Service
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* HAR  *  *     1  820P  *     820P  Departed:  On time.
* MID  *  *     1  830P  *     832P  Departed:  2 minutes late.
* ELT  *  *     1  837P  *     840P  Departed:  3 minutes late.
* MJY  *  *     1  843P  *     847P  Departed:  4 minutes late.
* LNC  *  *     1  855P  *     858P  Departed:  3 minutes late.
* PAR  *  *     1  914P  *     916P  Departed:  2 minutes late.
* COT  *  *     1  919P  *     925P  Departed:  6 minutes late.
* DOW  *  *     1  925P  *     932P  Departed:  7 minutes late.
* EXT  *  *     1  932P  *     940P  Departed:  8 minutes late.
* PAO  *  *     1  940P  *     949P  Departed:  9 minutes late.
* ARD  *  *     1  952P  *     1004P Departed:  12 minutes late.
* PHL  1  1010P *  *     1018P *     Arrived:  8 minutes late.
