* Keystone Service
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* PHL  *  *     1  155P  *     155P  Departed:  On time.
* PAO  *  *     1  220P  *     240P  Departed:  10 minutes late.
* EXT  *  *     1  228P  *     256P  Departed:  8 minutes late.
* DOW  *  *     1  232P  *     304P  Departed:  12 minutes late.
* COT  *  *     1  238P  *     310P  Departed:  12 minutes late.
* PAR  *  *     1  243P  *     318P  Departed:  15 minutes late.
* LNC  *  *     1  304P  *     337P  Departed:  13 minutes late.
* MJY  *  *     1  313P  *     346P  Departed:  13 minutes late.
* ELT  *  *     1  321P  *     353P  Departed:  12 minutes late.
* MID  *  *     1  327P  *     400P  Departed:  13 minutes late.
* HAR  1  340P  *  *     409P  *     Arrived:  9 minutes late.
