* Keystone Service
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* PHL  *  *     1  1059P *     1059P Departed:  On time.
* ARD  *  *     1  1111P *     1118P Departed:  7 minutes late.
* PAO  *  *     1  1124P *     1130P Departed:  6 minutes late.
* EXT  *  *     1  1132P *     1138P Departed:  6 minutes late.
* DOW  *  *     1  1136P *     1145P Departed:  9 minutes late.
* COT  *  *     1  1142P *     1152P Departed:  10 minutes late.
* PAR  *  *     1  1148P *     1158P Departed:  10 minutes late.
* LNC  *  *     2  1206A *     1219A Departed:  13 minutes late.
* MJY  *  *     2  1218A *     1229A Departed:  11 minutes late.
* ELT  *  *     2  1225A *     1238A Departed:  13 minutes late.
* MID  *  *     2  1232A *     1242A Departed:  10 minutes late.
* HAR  2  1250A *  *     1256A *     Arrived:  6 minutes late.
