* Downeaster
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* BON  *  *     1  905A  *     905A  Departed:  On time.
* WOB  *  *     1  923A  *     925A  Departed:  2 minutes late.
* HHL  *  *     1  953A  *     957A  Departed:  4 minutes late.
* EXR  *  *     1  1014A *     1016A Departed:  2 minutes late.
* DHM  *  *     1  1027A *     1030A Departed:  3 minutes late.
* DOV  *  *     1  1035A *     1037A Departed:  2 minutes late.
* WEM  *  *     1  1053A *     1055A Departed:  2 minutes late.
* SAO  *  *     1  1110A *     1111A Departed:  1 minute late.
* POR  *  *     1  1135A *     1140A Departed:  5 minutes late.
* FRE  *  *     1  1210P *     1217P Departed:  7 minutes late.
* BRK  1  1225P *  *     1231P *     Arrived:  6 minutes late.
