* Downeaster
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* POR  *  *     1  220P  *     220P  Departed:  On time.
* ORB  *  *     1  235P  *     237P  Departed:  2 minutes late.
* SAO  *  *     1  242P  *     247P  Departed:  5 minutes late.
* WEM  *  *     1  259P  *     308P  Departed:  9 minutes late.
* DOV  *  *     1  317P  *     508P  Departed:  1 hour, 51 minutes late.
* DHM  *  *     1  325P  *     517P  Departed:  1 hour, 52 minutes late.
* EXR  *  *     1  339P  *     531P  Departed:  1 hour, 52 minutes late.
* HHL  *  *     1  400P  *     552P  Departed:  1 hour, 52 minutes late.
* WOB  *  *     1  428P  *     632P  Departed:  2 hours, 4 minutes late.
* BON  1  450P  *  *     655P  *     Arrived:  2 hours, 5 minutes late.
