* Downeaster
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* BON  *  *     1  615P  *     615P  Departed:  On time.
* WOB  *  *     1  633P  *     643P  Departed:  10 minutes late.
* HHL  *  *     1  702P  *     715P  Departed:  13 minutes late.
* EXR  *  *     1  722P  *     737P  Departed:  15 minutes late.
* DHM  *  *     1  743P  *     800P  Departed:  17 minutes late.
* DOV  *  *     1  751P  *     809P  Departed:  18 minutes late.
* WEM  *  *     1  819P  *     912P  Departed:  53 minutes late.
* SAO  *  *     1  836P  *     931P  Departed:  55 minutes late.
* ORB  *  *     1  843P  *     941P  Departed:  58 minutes late.
* POR  *  *     1  905P  *     1001P Departed:  56 minutes late.
* FRE  *  *     1  935P  *     1035P Departed:  1 hour late.
* BRK  1  950P  *  *     1047P *     Arrived:  57 minutes late.
