* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* LAX  *  *     1  409A  *     409A  Departed:  On time.
* GDL  *  *     1  422A  *     422A  Departed:  On time.
* BUR  *  *     1  434A  *     434A  Departed:  On time.
* VNC  *  *     1  444A  *     444A  Departed:  On time.
* CWT  *  *     1  506A  *     506A  Departed:  On time.
* SIM  *  *     1  519A  *     522A  Departed:  3 minutes late.
* MPK  *  *     1  531A  *     535A  Departed:  4 minutes late.
* CML  *  *     1  546A  *     555A  Departed:  9 minutes late.
* OXN  *  *     1  558A  *     608A  Departed:  10 minutes late.
* VEC  *  *     1  612A  *     621A  Departed:  9 minutes late.
* CPN  *  *     1  634A  *     643A  Departed:  9 minutes late.
* SBA  *  *     1  650A  *     659A  Departed:  9 minutes late.
* GTA  1  716A  *  *     710A  *     Arrived:  6 minutes early.
