* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* SAN  *  *     1  825A  *     825A  Departed:  On time.
* OLT  *  *     1  832A  *     842A  Departed:  10 minutes late.
* SOL  *  *     1  902A  *     918A  Departed:  16 minutes late.
* OSD  *  *     1  923A  *     941A  Departed:  18 minutes late.
* SNC  *  *     1  1001A *     1024A Departed:  23 minutes late.
* IRV  *  *     1  1016A *     1038A Departed:  22 minutes late.
* SNA  *  *     1  1027A *     1050A Departed:  23 minutes late.
* ANA  *  *     1  1036A *     1100A Departed:  24 minutes late.
* FUL  *  *     1  1045A *     1111A Departed:  26 minutes late.
* LAX  1  1125A 1  1148A 1148A 1208P Arrived:  23 minutes late.           |  Departed:  20 minutes late.
* GDL  *  *     1  1200P *     1219P Departed:  19 minutes late.
* BUR  *  *     1  1210P *     1234P Departed:  24 minutes late.
* VNC  *  *     1  1220P *     1244P Departed:  24 minutes late.
* CWT  *  *     1  1232P *     1256P Departed:  24 minutes late.
* SIM  *  *     1  1244P *     108P  Departed:  24 minutes late.
* MPK  *  *     1  1256P *     121P  Departed:  25 minutes late.
* OXN  *  *     1  116P  *     144P  Departed:  28 minutes late.
* VEC  *  *     1  130P  *     159P  Departed:  29 minutes late.
* CPN  *  *     1  152P  *     221P  Departed:  29 minutes late.
* SBA  *  *     1  216P  *     237P  Departed:  21 minutes late.
* GTA  1  232P  *  *     247P  *     Arrived:  15 minutes late.
