* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* GTA  *  *     1  1235P *     1241P Departed:  6 minutes late.
* SBA  1  1246P 1  1249P 1253P 1257P Arrived:  7 minutes late.            |  Departed:  8 minutes late.
* CPN  *  *     1  104P  *     113P  Departed:  9 minutes late.
* VEC  *  *     1  126P  *     136P  Departed:  10 minutes late.
* OXN  *  *     1  142P  *     151P  Departed:  9 minutes late.
* CML  *  *     1  153P  *     203P  Departed:  10 minutes late.
* MPK  *  *     1  207P  *     217P  Departed:  10 minutes late.
* SIM  *  *     1  222P  *     230P  Departed:  8 minutes late.
* CWT  *  *     1  239P  *     244P  Departed:  5 minutes late.
* VNC  *  *     1  253P  *     258P  Departed:  5 minutes late.
* BUR  *  *     1  301P  *     305P  Departed:  4 minutes late.
* GDL  *  *     1  311P  *     315P  Departed:  4 minutes late.
* LAX  1  335P  1  408P  326P  410P  Arrived:  9 minutes early.           |  Departed:  2 minutes late.
* FUL  *  *     1  439P  *     440P  Departed:  1 minute late.
* ANA  *  *     1  447P  *     448P  Departed:  1 minute late.
* SNA  *  *     1  456P  *     457P  Departed:  1 minute late.
* IRV  *  *     1  509P  *     509P  Departed:  On time.
* SNC  *  *     1  524P  *     540P  Departed:  16 minutes late.
* OSD  *  *     1  601P  *     613P  Departed:  12 minutes late.
* SOL  *  *     1  620P  *     628P  Departed:  8 minutes late.
* OLT  *  *     1  654P  *     659P  Departed:  5 minutes late.
* SAN  1  707P  *  *     707P  *     Arrived:  On time.
