* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* GTA  *  *     1  1235P *     1235P Departed:  On time.
* SBA  1  1246P 1  1249P 1246P 106P  Arrived:  On time.                   |  Departed:  17 minutes late.
* CPN  *  *     1  104P  *     125P  Departed:  21 minutes late.
* VEC  *  *     1  126P  *     149P  Departed:  23 minutes late.
* OXN  *  *     1  142P  *     204P  Departed:  22 minutes late.
* CML  *  *     1  153P  *     216P  Departed:  23 minutes late.
* MPK  *  *     1  207P  *     228P  Departed:  21 minutes late.
* SIM  *  *     1  222P  *     243P  Departed:  21 minutes late.
* CWT  *  *     1  239P  *     256P  Departed:  17 minutes late.
* VNC  *  *     1  253P  *     310P  Departed:  17 minutes late.
* BUR  *  *     1  301P  *     321P  Departed:  20 minutes late.
* GDL  *  *     1  311P  *     334P  Departed:  23 minutes late.
* LAX  1  335P  1  408P  348P  408P  Arrived:  13 minutes late.           |  Departed:  On time.
* FUL  *  *     1  439P  *     439P  Departed:  On time.
* ANA  *  *     1  447P  *     447P  Departed:  On time.
* SNA  *  *     1  456P  *     456P  Departed:  On time.
* IRV  *  *     1  509P  *     509P  Departed:  On time.
* SNC  *  *     1  524P  *     524P  Departed:  On time.
* OSD  *  *     1  601P  *     601P  Departed:  On time.
* SOL  *  *     1  620P  *     621P  Departed:  1 minute late.
* OLT  *  *     1  654P  *     659P  Departed:  5 minutes late.
* SAN  1  707P  *  *     706P  *     Arrived:  1 minute early.
