* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* GTA  *  *     1  1235P *     1235P Departed:  On time.
* SBA  1  1246P 1  1249P 1258P 102P  Arrived:  12 minutes late.           |  Departed:  13 minutes late.
* CPN  *  *     1  104P  *     129P  Departed:  25 minutes late.
* VEC  *  *     1  126P  *     151P  Departed:  25 minutes late.
* OXN  *  *     1  142P  *     206P  Departed:  24 minutes late.
* CML  *  *     1  153P  *     217P  Departed:  24 minutes late.
* MPK  *  *     1  207P  *     231P  Departed:  24 minutes late.
* SIM  *  *     1  222P  *     245P  Departed:  23 minutes late.
* CWT  *  *     1  239P  *     259P  Departed:  20 minutes late.
* VNC  *  *     1  253P  *     312P  Departed:  19 minutes late.
* BUR  *  *     1  301P  *     320P  Departed:  19 minutes late.
* GDL  *  *     1  311P  *     332P  Departed:  21 minutes late.
* LAX  1  335P  1  408P  346P  408P  Arrived:  11 minutes late.           |  Departed:  On time.
* FUL  *  *     1  439P  *     440P  Departed:  1 minute late.
* ANA  *  *     1  447P  *     449P  Departed:  2 minutes late.
* SNA  *  *     1  456P  *     457P  Departed:  1 minute late.
* IRV  *  *     1  509P  *     509P  Departed:  On time.
* SNC  *  *     1  524P  *     524P  Departed:  On time.
* OSD  *  *     1  601P  *     601P  Departed:  On time.
* SOL  *  *     1  620P  *     620P  Departed:  On time.
* OLT  *  *     1  655P  *     701P  Departed:  6 minutes late.
* SAN  1  707P  *  *     709P  *     Arrived:  2 minutes late.
