* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* GTA  *  *     1  1235P *     1240P Departed:  5 minutes late.
* SBA  1  1246P 1  1249P 1257P 102P  Arrived:  11 minutes late.           |  Departed:  13 minutes late.
* CPN  *  *     1  104P  *     118P  Departed:  14 minutes late.
* VEC  *  *     1  126P  *     142P  Departed:  16 minutes late.
* OXN  *  *     1  142P  *     155P  Departed:  13 minutes late.
* CML  *  *     1  153P  *     212P  Departed:  19 minutes late.
* MPK  *  *     1  207P  *     227P  Departed:  20 minutes late.
* SIM  *  *     1  222P  *     242P  Departed:  20 minutes late.
* CWT  *  *     1  239P  *     256P  Departed:  17 minutes late.
* VNC  *  *     1  253P  *     309P  Departed:  16 minutes late.
* BUR  *  *     1  301P  *     317P  Departed:  16 minutes late.
* GDL  *  *     1  311P  *     330P  Departed:  19 minutes late.
* LAX  1  335P  1  408P  342P  408P  Arrived:  7 minutes late.            |  Departed:  On time.
* FUL  *  *     1  439P  *     439P  Departed:  On time.
* ANA  *  *     1  447P  *     447P  Departed:  On time.
* SNA  *  *     1  456P  *     457P  Departed:  1 minute late.
* IRV  *  *     1  509P  *     509P  Departed:  On time.
* SNC  *  *     1  524P  *     538P  Departed:  14 minutes late.
* OSD  *  *     1  601P  *     631P  Departed:  30 minutes late.
* SOL  *  *     1  620P  *     647P  Departed:  27 minutes late.
* OLT  *  *     1  655P  *     729P  Departed:  34 minutes late.
* SAN  1  707P  *  *     736P  *     Arrived:  29 minutes late.
