* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* GTA  *  *     1  1235P *     1235P Departed:  On time.
* SBA  1  1246P 1  1249P 1245P 1252P Arrived:  1 minute early.            |  Departed:  3 minutes late.
* CPN  *  *     1  104P  *     108P  Departed:  4 minutes late.
* VEC  *  *     1  126P  *     129P  Departed:  3 minutes late.
* OXN  *  *     1  142P  *     144P  Departed:  2 minutes late.
* CML  *  *     1  153P  *     155P  Departed:  2 minutes late.
* MPK  *  *     1  207P  *     226P  Departed:  19 minutes late.
* SIM  *  *     1  222P  *     243P  Departed:  21 minutes late.
* CWT  *  *     1  239P  *     257P  Departed:  18 minutes late.
* VNC  *  *     1  253P  *     312P  Departed:  19 minutes late.
* BUR  *  *     1  301P  *     321P  Departed:  20 minutes late.
* GDL  *  *     1  311P  *     336P  Departed:  25 minutes late.
* LAX  1  335P  1  408P  408P  421P  Arrived:  33 minutes late.           |  Departed:  13 minutes late.
* FUL  *  *     1  439P  *     500P  Departed:  21 minutes late.
* ANA  *  *     1  447P  *     517P  Departed:  30 minutes late.
* SNA  *  *     1  456P  *     529P  Departed:  33 minutes late.
* IRV  *  *     1  509P  *     606P  Departed:  57 minutes late.
* SNC  *  *     1  524P  *     626P  Departed:  1 hour, 2 minutes late.
* OSD  *  *     1  601P  *     706P  Departed:  1 hour, 5 minutes late.
* SOL  *  *     1  620P  *     728P  Departed:  1 hour, 8 minutes late.
* OLT  *  *     1  655P  *     802P  Departed:  1 hour, 7 minutes late.
* SAN  1  707P  *  *     811P  *     Arrived:  1 hour, 4 minutes late.
