* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* GTA  *  *     1  1235P *     1242P Departed:  7 minutes late.
* SBA  1  1246P 1  1249P 100P  103P  Arrived:  14 minutes late.          | Departed:  14 minutes late.
* CPN  *  *     1  104P  *     121P  Departed:  17 minutes late.
* VEC  *  *     1  126P  *     144P  Departed:  18 minutes late.
* OXN  *  *     1  142P  *     158P  Departed:  16 minutes late.
* CML  *  *     1  153P  *     208P  Departed:  15 minutes late.
* MPK  *  *     1  207P  *     225P  Departed:  18 minutes late.
* SIM  *  *     1  222P  *     240P  Departed:  18 minutes late.
* CWT  *  *     1  239P  *     254P  Departed:  15 minutes late.
* VNC  *  *     1  253P  *     309P  Departed:  16 minutes late.
* BUR  *  *     1  301P  *     318P  Departed:  17 minutes late.
* GDL  *  *     1  311P  *     329P  Departed:  18 minutes late.
* LAX  1  335P  1  408P  343P  408P  Arrived:  8 minutes late.           | Departed:  On time.
* FUL  *  *     1  439P  *     439P  Departed:  On time.
* ANA  *  *     1  447P  *     447P  Departed:  On time.
* SNA  *  *     1  456P  *     456P  Departed:  On time.
* IRV  *  *     1  509P  *     509P  Departed:  On time.
* SNC  *  *     1  524P  *     524P  Departed:  On time.
* OSD  *  *     1  601P  *     601P  Departed:  On time.
* SOL  *  *     1  620P  *     621P  Departed:  1 minute late.
* OLT  *  *     1  655P  *     701P  Departed:  6 minutes late.
* SAN  1  707P  *  *     709P  *     Arrived:  2 minutes late.
