* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* GTA  *  *     1  1235P *     1236P Departed:  1 minute late.
* SBA  1  1246P 1  1249P 1251P 103P  Arrived:  5 minutes late.            |  Departed:  14 minutes late.
* CPN  *  *     1  104P  *     123P  Departed:  19 minutes late.
* VEC  *  *     1  126P  *     146P  Departed:  20 minutes late.
* OXN  *  *     1  142P  *     201P  Departed:  19 minutes late.
* CML  *  *     1  153P  *     212P  Departed:  19 minutes late.
* MPK  *  *     1  207P  *     228P  Departed:  21 minutes late.
* SIM  *  *     1  222P  *     244P  Departed:  22 minutes late.
* CWT  *  *     1  239P  *     258P  Departed:  19 minutes late.
* VNC  *  *     1  253P  *     312P  Departed:  19 minutes late.
* BUR  *  *     1  301P  *     322P  Departed:  21 minutes late.
* GDL  *  *     1  311P  *     333P  Departed:  22 minutes late.
* LAX  1  335P  1  408P  344P  408P  Arrived:  9 minutes late.            |  Departed:  On time.
* FUL  *  *     1  439P  *     439P  Departed:  On time.
* ANA  *  *     1  447P  *     449P  Departed:  2 minutes late.
* SNA  *  *     1  456P  *     500P  Departed:  4 minutes late.
* IRV  *  *     1  509P  *     512P  Departed:  3 minutes late.
* SNC  *  *     1  524P  *     534P  Departed:  10 minutes late.
* OSD  1  600P  1  601P  604P  610P  Arrived:  4 minutes late.            |  Departed:  9 minutes late.
* SOL  *  *     1  620P  *     625P  Departed:  5 minutes late.
* OLT  *  *     1  655P  *     659P  Departed:  4 minutes late.
* SAN  1  707P  *  *     706P  *     Arrived:  1 minute early.
