* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* GTA  *  *     1  1235P *     1235P Departed:  On time.
* SBA  1  1246P 1  1249P 1255P 102P  Arrived:  9 minutes late.            |  Departed:  13 minutes late.
* CPN  *  *     1  104P  *     120P  Departed:  16 minutes late.
* VEC  *  *     1  126P  *     143P  Departed:  17 minutes late.
* OXN  *  *     1  142P  *     158P  Departed:  16 minutes late.
* CML  *  *     1  153P  *     210P  Departed:  17 minutes late.
* MPK  *  *     1  207P  *     223P  Departed:  16 minutes late.
* SIM  *  *     1  222P  *     237P  Departed:  15 minutes late.
* CWT  *  *     1  239P  *     250P  Departed:  11 minutes late.
* VNC  *  *     1  253P  *     302P  Departed:  9 minutes late.
* BUR  *  *     1  301P  *     310P  Departed:  9 minutes late.
* GDL  *  *     1  311P  *     321P  Departed:  10 minutes late.
* LAX  1  335P  *  *     332P  *     Arrived:  3 minutes early.
