* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* GTA  *  *     1  1235P *     1235P Departed:  On time.
* SBA  1  1246P 1  1249P 1247P 102P  Arrived:  1 minute late.             |  Departed:  13 minutes late.
* CPN  *  *     1  104P  *     120P  Departed:  16 minutes late.
* VEC  *  *     1  126P  *     145P  Departed:  19 minutes late.
* OXN  *  *     1  142P  *     207P  Departed:  25 minutes late.
* CML  *  *     1  153P  *     219P  Departed:  26 minutes late.
* MPK  *  *     1  207P  *     234P  Departed:  27 minutes late.
* SIM  *  *     1  222P  *     249P  Departed:  27 minutes late.
* CWT  *  *     1  239P  *     306P  Departed:  27 minutes late.
* VNC  *  *     1  253P  *     321P  Departed:  28 minutes late.
* BUR  *  *     1  301P  *     331P  Departed:  30 minutes late.
* GDL  *  *     1  311P  *     354P  Departed:  43 minutes late.
* LAX  1  335P  1  408P  409P  423P  Arrived:  34 minutes late.           |  Departed:  15 minutes late.
* FUL  *  *     1  439P  *     454P  Departed:  15 minutes late.
* ANA  *  *     1  447P  *     503P  Departed:  16 minutes late.
* SNA  *  *     1  456P  *     514P  Departed:  18 minutes late.
* IRV  *  *     1  509P  *     526P  Departed:  17 minutes late.
* SNC  *  *     1  524P  *     540P  Departed:  16 minutes late.
* OSD  1  600P  1  601P  613P  617P  Arrived:  13 minutes late.           |  Departed:  16 minutes late.
* SOL  *  *     1  620P  *     638P  Departed:  18 minutes late.
* OLT  *  *     1  655P  *     718P  Departed:  23 minutes late.
* SAN  1  707P  *  *     726P  *     Arrived:  19 minutes late.
