* THIS TRAIN HAS EXPERIENCED CANCELLATIONS.
* Silver Star
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* NYP  *  *     1  1102A             Station Stop Canceled
* NWK  1  1118A 1  1122A             Station Stop Canceled
* TRE  1  1157A 1  1200P             Station Stop Canceled
* PHL  1  1230P 1  1235P             Station Stop Canceled
* WIL  1  1258P 1  102P              Station Stop Canceled
* BAL  1  150P  1  155P              Station Stop Canceled
* WAS  1  235P  1  305P              Station Stop Canceled
* ALX  *  *     1  323P              Station Stop Canceled
* RVR  1  507P  1  517P              Station Stop Canceled
* PTB  *  *     1  551P              Station Stop Canceled
* RMT  *  *     1  721P              Station Stop Canceled
* RGH  1  848P  1  901P              Station Stop Canceled
* CYN  1  923P  1  923P              Station Stop Canceled
* SOP  *  *     1  1036P             Station Stop Canceled
* HAM  1  1118P 1  1118P             Station Stop Canceled
* CAM  *  *     2  1247A             Station Stop Canceled
* CLB  *  *     2  138A              Station Stop Canceled
* DNK  *  *     2  235A              Station Stop Canceled
* SAV  2  413A  2  418A              Station Stop Canceled
* JAX  2  639A  2  659A              Station Stop Canceled
* PAK  *  *     2  802A              Station Stop Canceled
* DLD  *  *     2  856A              Station Stop Canceled
* WPK  *  *     2  943A              Station Stop Canceled
* ORL  2  1006A 2  1020A             Station Stop Canceled
* KIS  *  *     2  1044A             Station Stop Canceled
* LAK  *  *     2  1129A             Station Stop Canceled
* TPA  2  1223P 2  1237P             Station Stop Canceled
* LKL  *  *     2  113P              Station Stop Canceled
* WTH  *  *     2  135P              Station Stop Canceled
* SBG  *  *     2  216P              Station Stop Canceled
* OKE  *  *     2  252P              Station Stop Canceled
* WPB  *  *     2  417P              Station Stop Canceled
* DLB  *  *     2  441P              Station Stop Canceled
* DFB  *  *     2  453P              Station Stop Canceled
* FTL  *  *     2  517P              Station Stop Canceled
* HOL  *  *     2  533P              Station Stop Canceled
* MIA  2  558P  *  *                 Station Stop Canceled
